voter_id,full_name,gender,date_of_birth,age,aadhaar_number,phone_number,email,address,city,district,state,pincode,registration_date
1,Gaurangi Basu,Other,1964-11-08,61,703602471928,02544078520,gaurangi34@example.net,H.No. 582 D’Alia Chowk Bhimavaram 646972,Karawal Nagar,Surat,Gujarat,951274,2024-06-29
2,Meera Sarkar,Female,1990-10-08,35,105941298800,+912285878145,damini98@example.net,"429 Shenoy Marg, Korba 576345",Hosur,Siwan,Delhi,212644,2017-02-07
3,Liam Pingle,Other,1964-10-21,61,197945474067,4567192748,yauvanipatla@example.net,H.No. 23 Gandhi Nagar Kanpur 656548,Chandigarh,Kota,Uttar Pradesh,472930,2023-05-26
4,Lohit Borde,Male,1984-08-20,41,542783213089,+917357948038,girish99@example.net,"792 Din Road, Jorhat-738164",Jaipur,Bulandshahr,Rajasthan,318929,2017-06-22
5,Hemangini Dyal,Female,1965-06-20,60,328171615853,08043765342,sunderikbal@example.org,178 Bali Nagar Raipur-103035,Howrah,Durgapur,Uttar Pradesh,069001,2024-01-20
6,Chandran Mandal,Female,1955-08-15,70,594619843437,04600369038,khosladevansh@example.com,526 Sarkar Zila Kochi-751831,Bongaigaon,Amaravati,Rajasthan,224907,2025-07-03
7,Tanay Chaudry,Female,1964-02-11,61,725820745599,00398532793,,"013 Parekh Road, Jabalpur-552407",Agartala,Sagar,Delhi,147157,2019-02-07
8,Liam Mall,Female,1953-03-06,72,337244881036,06188049909,tristan52@example.com,"70, Ahluwalia Road Miryalaguda-801257",Haldia,Dhule,Uttar Pradesh,036911,2016-07-23
9,Gagan Setty,Other,1938-06-16,87,701507210982,+913781358374,chandraabhiram@example.org,"65/839, Gour Road, Dewas-127805",Medininagar,Karawal Nagar,Maharashtra,943813,2020-07-03
10,Jack Kashyap,Other,1999-05-21,26,302655677251,2061652306,oni72@example.net,"39/122, Chokshi Path Srinagar 862498",Alappuzha,Bettiah,Gujarat,545312,2020-03-24
11,Qadim Magar,Male,1991-11-15,34,516211396374,8332152200,wishi34@example.com,"H.No. 26 Bhatti Circle, Rourkela-639479",Solapur,Barasat,Karnataka,304116,2024-09-07
12,Kavya Grover,Female,1955-05-03,70,301100424526,9997031034,,"96/77, Ravel Pali 972987",Ludhiana,Nellore,Gujarat,267656,2023-07-19
13,Bhavani Khalsa,Male,1994-08-25,31,617394938531,02819317029,xavier83@example.net,"H.No. 231 Suresh Nagar, Junagadh 712705",Kurnool,Sangli-Miraj & Kupwad,Uttar Pradesh,439161,2024-06-23
14,Nikita Khatri,Female,1987-01-22,38,880868802680,8907117986,echerian@example.com,"H.No. 541, Patel Road Begusarai-846191",Silchar,Morena,Gujarat,872209,2018-12-31
15,Bahadurjit Baral,Female,1995-12-29,30,595176504884,5536349980,jtalwar@example.org,"H.No. 67, Grover Marg, Mahbubnagar-738401",Deoghar,Guntakal,Uttar Pradesh,236730,2020-03-26
16,Manya Mander,Other,1958-02-17,67,685606781064,,emani@example.com,"31 Ghosh, Medininagar-501498",Tiruppur,Coimbatore,Gujarat,441805,2025-03-12
17,Vihaan Goda,Female,1985-03-13,40,467166363951,8640772472,hhalder@example.net,"98 Biswas Street, Dewas-651568",Adoni,Rajahmundry,Karnataka,021244,2022-07-02
18,Charles Grewal,Male,1987-11-20,38,202457704871,08373300576,vjohal@example.org,"50, Sen Road, Bhubaneswar-129101",Gorakhpur,Bangalore,Delhi,763553,2024-02-13
19,Janani Bhardwaj,Other,2000-05-30,25,397778349097,+916937705058,bandimekhala@example.com,56 Bajaj Chowk Burhanpur-256986,Bhalswa Jahangir Pur,Gandhinagar,Maharashtra,659140,2021-11-22
20,Siddharth Kota,Female,1981-10-23,44,829034990614,7297004920,anamika67@example.com,13/97 Ganguly Marg Morena 556497,Giridih,Giridih,Gujarat,855434,2025-12-20
21,Eshana Tripathi,Female,1941-08-23,84,202457704871,05301777616,daraadweta@example.org,"47/855, Grover Nagar Pudukkottai-474043",Thrissur,North Dumdum,Gujarat,633821,2019-05-11
22,Xavier Peri,Male,1994-04-08,31,919340296971,03404138244,bhavani72@example.org,"980, Kaul Street, Bongaigaon-792281",Jehanabad,Latur,Uttar Pradesh,583086,2025-01-09
23,Aryan Kaul,Female,1992-06-12,33,818156061706,08696386761,varkeyhemang@example.com,"85/05 Raval Circle, Tenali-191693",Gandhinagar,Ambala,Delhi,337785,2018-08-20
24,Arunima Sem,Female,1985-02-03,40,912231451885,+916395495844,gauribhatt@example.net,"H.No. 360, Chowdhury Nagar, Machilipatnam-252389",Kamarhati,Thiruvananthapuram,Maharashtra,758631,2025-01-02
25,Zarna Barman,Other,1993-12-31,32,607747924749,6200296840,hema50@example.org,"71/56, Rout Circle, Proddatur 646550",Munger,Nizamabad,Gujarat,735315,2018-09-18
26,Wazir Narasimhan,Male,2004-06-02,21,777847385068,2424579068,balhaar58@example.net,"28/08, Zacharia Path Kumbakonam 473923",Lucknow,Guntakal,Gujarat,955810,2020-06-27
27,Suhani Sem,Male,1962-02-23,63,751003167513,07851793316,bhandarifalan@example.com,"H.No. 209 Aurora Road, Thanjavur 495914",Anand,Pudukkottai,Gujarat,145321,2017-02-20
28,Kai Oak,Other,1949-08-14,76,369946052512,,bajwaanita@example.com,"H.No. 05, Sangha Circle, Panvel 133836",Nagpur,Malegaon,Maharashtra,929336,2024-07-12
29,Bhanumati Bakshi,Other,1992-08-17,33,951616023363,1704377838,ronith77@example.net,40/77 Halder Ahmedabad-572814,Ghaziabad,Saharanpur,Uttar Pradesh,124617,2024-07-27
30,Chakradhar Sarraf,Male,1958-06-22,67,237624256990,8361013408,baradshivansh@example.net,"H.No. 159, Ghose Marg Bilaspur-021267",Orai,Surat,Rajasthan,831742,2025-07-15
31,Janya Rastogi,Female,1961-02-02,64,399006881925,+919850586991,om49@example.org,H.No. 39 Bains Chowk Naihati-430074,Guwahati,Uluberia,Karnataka,989897,2024-09-06
32,Jalsa Lalla,Female,1938-12-12,87,345881823047,,ishwar12@example.org,"89/802 Palla Path, Bikaner-401273",Rohtak,Bongaigaon,Delhi,005693,2022-06-03
33,Yamini Bumb,Other,1945-02-05,80,718830358261,+915331811965,zansikothari@example.com,"54/017, Dugal Chowk, Dibrugarh-237954",Navi Mumbai,Hajipur,Karnataka,891011,2019-04-05
34,Hemal Sen,Male,1956-12-14,69,515079887246,0173809191,banikvivaan@example.com,"22/87, Badal Street Berhampur-480067",Morbi,Dindigul,Karnataka,539402,2021-09-07
35,Meera Pradhan,Female,1960-08-26,65,205945970322,+915635701753,dkibe@example.org,"76/140, Gour Chowk Korba-921318",Dehri,Noida,Karnataka,664147,2024-08-29
36,Dalbir Dash,Male,1979-11-01,46,833853821736,06251211480,yashawinisinghal@example.org,"25/78, Zachariah Marg Howrah 070768",Haridwar,Phagwara,Karnataka,736647,2019-07-21
37,Anusha Kalita,Female,1969-04-25,56,509827333916,+919372529677,doctorira@example.com,"02, Dubey Chowk Gwalior-828851",Shimoga,Phagwara,Gujarat,798457,2020-11-01
38,Adya Oza,Female,1973-08-07,52,383281909609,1196994157,wbrar@example.com,"48/81 Keer Chowk, Katni 792080",Sambalpur,Tiruppur,Gujarat,753297,2022-03-24
39,Vyanjana Gade,Other,1973-03-30,52,912678183898,4360563636,anyahari@example.com,"H.No. 518 Thaker Circle, Bareilly-673622",Mira-Bhayandar,Salem,Delhi,072807,2025-08-03
40,Devansh Palla,Male,1941-07-22,84,523695994642,3810150454,advikagrewal@example.net,"H.No. 19, Korpal Ganj, Rajahmundry 533712",Kolhapur,North Dumdum,Karnataka,447294,2016-12-20
